"","LeastSquares","mleBessel","mleChiSquared"
"alpha",0.00338482567352083,0.00466219406412373,0.00472763215164661
"theta",0.0552185162611278,0.0548135235441603,0.054760666515931
"sigma",0.0180971542709505,0.0183091519442588,0.0183544882371407
